entry_num,gloss,otomian,trique,proto_mixtec,Unnamed: 5,zapotec_isthmus,Unnamed: 7,mazahua,totonac,popoluca,huave,chontal
1.0,I,nuga̲,ùnj,*yuʔu,"na (informal), ri (formal)",naa,"nheda, nhaa",,ik,uts,xiok,iyáh
2.0,"you
(singular)",nu'i,"sò', dì' (intimate)",,"ro'o (informal), ni'in (formal)",lii,"lhe' (informal), le'e (formal)",,", -na",mich,iok,imáh
3.0,he,"nu'ä, nä'ä",so',,"ra, yɨ",laa1be2,lebe,,,je',ñu,jiquiya
4.0,we,nugawi,"ní' (incl.), núj (excl.)",,"yo'o, ri; nde'e","laa1nu2 (incl.), laa1du2 (excl.)",nheto',,,ïjtsat,"kunar, kunajts (incl.); 
xinan (excl.)",iyángc'
5.0,"you
(plural)",nu'iwi,soj,,ndo,laa1tu2,"le’en, le’eque",,,míchat,inan,imángc'
6.0,they,nu’u,nii,,nda,laa1ca1be2,le’equebe,,,,ñuaf,jiniya
7.0,this,nuna,nihánj,*weyè,"yo'o, xa'a",ri’3,,,u,,ki,jitaha
8.0,that,nu'ä,"dan, yo'",*yuku à,yukan,ca2,,,a,yajtï’n,,jicuhua
9.0,here,nuwa,nihánj,,"yo'o, xa'a",che1rí’2,,,u,yam,ñinga,faha
10.0,there,nu'bu̲,"yo', ti'yaj (distal)",,kaa,che1ri1ca’3,,,aná,"jem, yajm",tikej,"jiłuhwa, jipuhwa"
11.0,who,togo,"me síí, me níí (fem.)",,"navi, unku",tu2,nhoo,,ti,,jang,"nay, ne"
12.0,what,temu,me,,"nda, ndavi, unku",gu1ná’2,bii,,tu,,kuñ,de
13.0,where,ho'bu̲,"me rej, tonj",,nuu,"ni, ra, gu1ná’2",gaaxha,,nikú,,ke(j),be
14.0,when,hä'mu̲,"me aman, me orá",*awà,"nama, na, nuu","pad1xí3, ora",,,ikxnicu,,"ngaty (past), 
ngoy (future)",dej hora
15.0,how,hanja('ä),dàj,*ndese,nasaa,xi1 caasi2,,,latayá,,keñ,de ts'ihíc'
16.0,not,hin-,"ne, sè",,"tu, koto, ko ansu",nin,,,,,ngo,ahí
17.0,all,"ta̲t’i, ga̲tho",cunù',,ndi'i,"gui1du2bi1, gui1rá’2","yogo, dote, bala",,,,miaw,"ajaf'ga, dalay, jaway"
18.0,many,"ndunthe, nts'e̲di",me dòj,,"kua'a, kini",sta1le2,zan,,"snún, loko",mayo’y,xuwe,"agwegah, axpéh, mufca"
19.0,some,naxtui,dòj,,"sava, uu",,,,,,,algo (Spanish)
20.0,few,tx'u̲tho,dòj,,"lo'o, xaku, tɨ'lɨ","caad1xi2, hua1xié’3",lhate,,"agsú, tantsú",,tyukay,"awatáh, duninih"
21.0,other,ma ‘na,yo'ó,*tuku,ɨnka,"sti3, sto3bi1",,,tunu,,,ogwena
22.0,one,n'aha,"ò, yo'ò",,ɨɨn,tobi,to,d'aja,túm,tu'c,anop,anuli
23.0,two,yoho,vìj,*uwi,uvi,chu1pa2,chope,yeje,tuy,meche,ajpaw,oguéh
24.0,three,hñu,va'nùj,*one,uni,chon1na2,shone,jñiji,tutu,túgup,arujpaw,afanéh
25.0,four,goho,ca'ànj,*kɨwìʔ,kuun,tapa,tape,nziyo,tati,máctaxp,apokiuf,amalbu
26.0,five,ku̲t’a,"ùn', u'ùn'",*oʔò,u'un,gaayu',gayo',tsicha,kitsis,mogoxp,akokiaf,amagueh
27.0,big,dätä,,*kaʔnu,"ka'un, chee","ngo2la1, xirooba'","daxhen, cha’o",nojo,langa,mïj,-dam,"ujxi, agwegah (an)"
28.0,long,maki,xcààn,,kani,"na1yu’3la’1, naziuula'",tona,,"slmán, laslmán",,,idogui
29.0,wide,"nxidi, xogi",cachrà',,xicha,"nabata, na1la2ga1",,,"pulanga, tilanga",,tarrap,"expats'gui, ewofma, luxpayyah"
30.0,thick,"mpidi, ndä","ca'nù', mànj",,kukun,na1na1na2,"yize, chej",,kelanga (person),,tsapaj,ibinggui
31.0,heavy,hñu̲,èè,*weyi,vee,,zi',,trinka,,,agundah
32.0,small,tx'u̲lo,cunii,,"lulu, lo'o","na1biu2xe2, nahuiini'","dao, rhinco",,lagtsu,,namix,ahuinuh
33.0,short,"tx'u̲ki, nkohi",chrè',,lɨkɨ,nachucu,,,,,,"agahua, ahua"
34.0,narrow,"nts'it'i, nts'i'mi","catùùn, chrùj",,tuu,na1bé’2,,,,atúguic,,"adansca, łijca"
35.0,thin,nts'u̲t'i,catùn' (flat obj.),,"kuɨñɨ, xii, leke",na1la1se’2,lhase,,ketsú,péjay,,"axalóf, ałá"
36.0,woman,be̲hñä,chanà,*yáʔą́ʔ,"ña, ña ɨ'ɨ",gunaa,nhol'le,nzhixu,puxkat,to’xay,najta,łagahno
37.0,"man
(adult male)",ño̲ho̲,"chii, no'o, snó'o",*teye,taa,"nguiiu, ngola (male)",beyo,,chiskú,qui’chay,naxuy,galxáns
38.0,"man
(human being)",jä'i,yuviì,*yè yɨwɨʔ,ɨvɨ,"bin1ni2, guidxi",bene,,,jayau,ñipinaj,galxans
39.0,"child
(a youth)",bätsi,"cunii, ne'ej (small)",,"lulu, lili","ba'du', xiiñi'",bi'-,t'ii,skata,-chwáy,"ñunch, kwal","łahuac'wa, 
lapimi (baby)"
40.0,wife,be̲hñä,nicà,,(ña)sɨ'ɨ,,,,puskát,,,łabeno
41.0,husband,ndo̲,nicà,*yɨɨʔ,ii,,bene xhi’o,,takoló,,no,łaguweh
42.0,mother,nänä,nii,,nana,jñaa2,xnha’,,tsi,mam,mam,łamamah
43.0,father,tada,rej,,tata,bixhoze,xa,taa,"tikú, tlat",tet,tyety,łahal-lih
44.0,animal,zu'we,xcuu,*kɨtɨʔ,kɨtɨ,ma1ni’3,be,nzhodú,kitsistanka,animat (Spanish),,łinneja
45.0,fish,hwä,xcuaj,,chaka,benda,bela',jmoo,skiti,acx,"katy, 
-ndok (verb)",ładu
46.0,bird,ts'ints'u̲,xtaj,*tɨ laa,saa,ma1ni3 huiini’1,bechhoj,súú,spún,jojn,kuk,"łaga, kaguo"
47.0,dog,"tsat'yo, txu̲ku̲",chuvee,,ina,bi'cu',beco',dyoo,chicha,tac,kius,galtsiqui
48.0,louse,t'o,xij,,chuku,,bese,too,skata,,,łayxtał
49.0,snake,pa̲,xcuáá,*kooʔ,koo,beenda',bel,,luwa,tsánay,,łaynofał
50.0,worm,"zu'we, matse̲",xlúú,,"tɨkashin, tɨndaku",bi1cu1ti’3,beldao,,luwa,,,łabimi
51.0,tree,zaa,chruun,*yutùʔ,"yutun, yujnu",yaga,ya'g,zanu,kiwi,cujy,xiol,"alhec, loli"
52.0,forest,mbozaa,,,nuyuxia,,ya'gdao,t'eje,,,,galhec'
53.0,"stick
(of wood)",ma̲i (post),,,"yutun, vitun",yaga,xhis,,kiwi,tsïgïc,,alhec
54.0,fruit,ixi,chruj,,"vixi, nde'e",xuananaxhi,dazixe',,xatawakatkiwi,tüjm,kaung,łihas q'uec
55.0,seed,nda̲,núú,,ndɨkɨn,biidxi',"binhe, xhi’in",,lichanat,,sajp,"galfanúh, łemets"
56.0,leaf,"xi, thot'i","coj, ra'a coj",,nda'a yuku,"yaza, bandaga",laga,,,camdïjc (fallen),up,libela
57.0,root,yu̲,yáá,,yo'o,xcu,lhoe,,tankaxák,tícchic,,lime
58.0,"bark
(of tree)",ma̲ts'i,quíí,,,riga,,,,,"-pang, orr (shell)",lixmi q'uec
59.0,flower,do̲ni,yaj,,ita,guie',yej,,xánat,píjic,,libah
60.0,grass,pasto (Spanish),coj,,iva,guixi beu’2/ga’3,yixe',,,,sox,lixcua q'uec
61.0,rope,nthähi,ya'aa,,yo'o,doo,do,,tasiwi,,,"almefla, lene"
62.0,"skin
(of a person)",xifni,nuj,,ñɨɨ,guidi,wid,,xuwa,ac,tajk,labixmi
63.0,"meat
(as in flesh)",ngo̲,neè,*koyò,neè,bee1la2,belha',,liwa,,uñijk,lixíc'
64.0,blood,ji,ton,*nɨyɨ`ʔ,nɨñɨ,rini,chhenhe,,kagslni,nípin,,łajuáts'
65.0,bone,ndo'yo,cúú,,yɨkɨ,dxita,xhita,,lukut,,,legał
66.0,"fat
(noun)","hnoho, nziki","ramii, casté (oil)",*seʔè,xa'an,za,za,,,,-xap (fatten),fungi
67.0,egg,"mädo, t’axi",chruj,*ndɨwɨʔ,ndɨvɨ,dxita,zit,,kaslwát,coy,um,łabihe
68.0,horn,ndäni,cúú raà,*ndɨkɨʔ,ndɨkɨ,ca2chu1,,,akalókot,waj,,legał
69.0,tail,ts'u̲,tucuáán,*luʔwèʔ,"su'ma, ndo'ma",,,pjixi,taján,tu’jts,,labo
70.0,"feather
(rather not down)",xi'ni,,*towì,tuu,duubi',,,,,puik,labimi
71.0,hair,xtä,cutziin,,"ixi, idi",guicha,dobe,ñii,chíxit,cuajy,undiats,łajuac
72.0,head,ñäxu̲mu,raà,,yichj,ique,,ndoñi,"xakxaka, akxaka",cópac,-mal,łajuac
73.0,ear,zagu,xréé,*loʔo,so'o,diaga,nhag,xúrgo,taken,tátsïc,-lajk,laxhmas
74.0,eye,da̲,"rlij rihaan, rnee rihaan",,rlij,bezalú,yełao,choo,lakastapu,wijn,-ñujk,lahu
75.0,nose,xiñu,tacúún,*sitìʔ,xɨtin,xii,xinha',xiño,kinkán,jïjp,-xing,łahnał
76.0,mouth,ne,tu'va,*yuʔuʔ,yu'u,ruaa,chho'a,nee,kislni,ajw,-mbe,lago
77.0,"tooth
(rather not molar)",ts'i,cúú yan',*noʔo,un'un,laya,lay,sib'i,tatsán,tïjts,-laik,lahay
78.0,tongue,jähne,"daa, yaa, laa",,yaa,"diidxa', lud1xi2",lochhe',b'onkjua (cow),simakat,ajw,-ñiw,łabał
79.0,fingernail,xa̲,"cúú sten, cúú ston",,tiñu,bi1xu1ga2,xogo',xojo,siján,xojc,,łahnałuc
80.0,foot,wa,tacóó,,"xa'a, sɨ'ɨn",batañee,ni'a,nguaa,tujún,ta’n,-lyej,lahmis
81.0,leg,xinthe,tacóó,,san'da,"bid1xi3ñee1, batañee",ni'a,chjange,tuntún,,,lahmis
82.0,knee,ñähmu,raà rùj,,yɨkɨ xɨtɨ,xibi,xhib,ñijmo,tsokosni,,kos,łengone
83.0,hand,ye̲,ra'a,,nda'a,ba1ta1ná’2,nha,dyee,makán,cu’,wix,lamane
84.0,wing,jwa,xcóó,*ndixì,ndɨxin,xhiaa,,juaa,pakán,quegan,ulaim,laxáł
85.0,belly,xefo,"rque, scoj",,chii,ndaani',yej le'e,pjeme,pan,tínchay,-taing,laguhu
86.0,guts,xafo,xri',*xɨtɨ,xitɨ,doo xqui',xjalo,,,,-miajts,lugwiyale
87.0,neck,yu̲ga̲,chihá,*sukùʔ,sukun,yanni,yen,jiúkjú,pixni,,-ñok,łajoc'
88.0,back,xu̲tha,xráá,,"sata, sɨkɨ",deche,coze',xútjú,agslchán,,,laxpulah
89.0,breast,"ba, tiñä (chest)",tzii,,xika,xidxi,lacho',tijmi,"tsíkit, kuxmún (chest)",,jiu,łonxajmah
90.0,heart,mu̲i,"rá, nimán",,"nɨma, añu",ladxidó',lazdao',múbú,nakú,calitsíc,,łonxajmah
91.0,liver,ya,rayaj,,staxa'a,la'dxi',"winhe, xcheta",kjúrga,slwakaka,,ik,łada
92.0,to drink,"tsithe, 'bet'i",o,,ko'o,"re', ru1cuii1dxi2",,ziji,kotnún,tïnucp,-ngañu,dixnahma
93.0,to eat,"tsi, ñuni",chá,*xexiʔ,kaki,ro,gwago,ñona,kuá,,-ty,didehma
94.0,to bite,tsa,chihan',,tɨɨn,"ro yaa, ruquiichi'",,zakú,skanán,,-tsamb,digahma
95.0,to suck,juts’i,utaan,,tɨ'vɨ,"radxi, rin1dii2",,,,tïnco’yp,,ditsihma
96.0,to spit,tsogi,"araa talúj, rii talúj",,ti'vi,ruchá xhin1ni2,,,isputnán,,,ditsuł'ihma
97.0,to vomit,"e̲i, 'yaha",uchráán,,nduña,r(us)idxi'ba',weyeb,,patlanán,ï’tsp,tiorr,dinajhma
98.0,"to blow
(as wind)",jwixt'i,a'yánj,,"kaxa, tɨvɨ","ruchá bi, run1du1bi2",,búú,,,,difushma
99.0,to breathe,nju̲xu̲hñä,,,sita ... tachi,ricaa1 bi3,,,,,,dunxahma
100.0,to laugh,"thede, theni",a'nga',,kuaku,ru1xid1xi2,wexhize’,,,,-kwik,dixohma
101.0,to see,nu,"ne'en, ni'yàj",*ndeʔya,"kuni, koto","ru1si1ná2, ruuya'",welhe’e,nuu,ikxilá,tïne’p,-ñi,diximhma
102.0,to hear,o̲de,uno,,kuni so'o,runa diaga,chhen,,,tïmárap,-nge,digyejhma
103.0,"to know
(a fact)",ät’i,chá,,kuni,nan2na1,,,katso,tïnixtacp (people),jaw,diximhma
104.0,to think,"mbeni, 'yomfeni",avii raà,,ndo'o ... ini,riní ique,,,lagpuwan,,-tiots,digwahma
105.0,"to smell
(sense odor)",yu̲ni,uchrunj,*siko,"ta'mi, kuxa'an","rindá', riguba xii",,,mukus,,,dujueda
106.0,fear,"ntsu, xikwa",chu'vi',*yuʔwi,yu'u,ridxibi,chhechenhi’i,,,"tïnïxp xogotni’c 
(verb)",-mbol,łaxpayguih
107.0,to sleep,ähä,otoj,,kusun,"rasi, rusisiaasi'",wetas,,asltatá,,-me,dixmayhma
108.0,to live,bui,"ne, yáán",,"koo, chakoo",ri1be1za2,,,,tsïnap,,dibajmhma
109.0,to die,tu,avi',,kuvi,rati,"wate, chat",,ní,,-ndyu,dimahna
110.0,to kill,ho,ticavi',,ka'ni,ruu1ti2,"wet, chhot",,magní,,-mbi,dimáhahma
111.0,to fight,"ntuhni, ntsa̲","anó tuvi', unu'",,"kanaa, kinyɨɨ",ri1din1de2,,,taratlawá,,,
112.0,"to hunt
(transitive)","pe̲, k'ahni",noco',,k'ani,rie guuze',xhejsa (noun),,talatnán,tínquep,,dihnołhma
113.0,to hit,"fant’i, umbi",,,chi'i,"ri1ga1pa2, ri1gui1ñe2",we',,,,,dibahma
114.0,to cut,he̲ki,a'ne',,"ka'ncha, kaxa","ruchuugu', rugá",,,,tïnpuxtucp,"ndojky-; 
ajch (chop)",dihwitsoda
115.0,to split,he̲ni,,,t'avi,"richeza, ri1gui1che2",,,,,mbajk-; chiot (break),debíhihma
116.0,"to stab
(or stick)",sut'i,,,kani,,,,,tïnmï’cxp,-tsoly,denahma
117.0,"to scratch
(an itch)","xe̲t'i, xaki",utuù,,koyo,"ri1guu1ñe2, 
ruuza1 xhuga2",,,taxtí,,koch,"debułhma, degofijmhma"
